Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[ET001]Плюс После Вкл. Зажиг. На Комп.","зажиг","22200E","{A:0}","0","0","",""
"[ET018]Запрос На Вкл. Кондиционера","вкл АС","222229","{A:0}","0","0","",""
"[ET038]Двигатель","двиг","222010","A","0","0","",""
"[ET041]Перед. Отнош. Коробки Передач","перед отн КПП","222C04","(A&7)","0","0","",""
"[ET043]Регулировка Скорости","рег скор","222079","{A:3}","0","0","",""
"[ET098]Etat Prive 5","prive 5","222124","{A:0}","0","0","",""
"[ET115]Сигн. Лампа Предпуск. Подогрева","лампа подогр","222823","{A:0}","0","0","",""
"[ET116]Разреш. На Включ. Кондиционера","вкл АС","222092","{A:0}","0","0","",""
"[ET160]Команда Реле Предвар. Подогрева","Glow","22201A","{A:0}","0","0","",""
"[ET205]Управл. Реле Рез. Сист. Охл. No. 1","T-1","22201D","{A:0}","0","0","",""
"[ET206]Управл. Реле Рез. Сист. Охл. No. 2","T-2","22201D","{A:1}","0","0","",""
"[ET207]Управл. Реле Рез. Сист. Охл. No. 3","T-3","22201D","{A:2}","0","0","",""
"[ET336]Ввод Значения Параметра Функции Рог","ввод знач парам рог","222479","{A:0}","0","0","",""
"[ET405]Контакт Педали Сцепления","конт пед сцепления","22222D","(A&7)","0","0","",""
"[ET413]Функция КК/СЛ","функция КК","22204C","(A&7)","0","0","",""
"[ET521]Информация О Минимальном Уровне Топлива","мин ур топлива","22281B","{A:0}","0","0","",""
"[ET587]Сист Охлажд Рециркул Отработавших Газов","сист охл рог","22240F","{A:0}","0","0","",""
"[ET649]Детектор Воды В Дизельном Топливе","вода в топливе","22FD70","{A:0}","0","0","",""
"[ET673]Обнаруж. Блокировки Педали Акселератора","блок пед аксел","222036","A","0","0","",""
"[ET691]Выключатель Запуска Двигателя","выкл зап двигателя","222079","{A:0}","0","0","",""
"[ET702]Статическая Регенерация","статич реген","222434","(A&7)","0","0","",""
"[ET703]Выключатель Регулятора/Ограничителя Скорости","выкл КК","22204B","(A&7)","0","0","",""
"[ET723]Отображаемая Скорость Автомобиля","отобр скорость","222226","{A:0}","0","0","",""
"[ET724]Мультиплексир. Информация О Скорости Автомобиля","инф о скорости","222225","{A:0}","0","0","",""
"[ET726]Включение Заднего Хода","включ заднего хода","222079","{A:1}","0","0","",""
"[ET727]Соедин Рег/Огр Ск После Наж Выкл Рег Ск","соед кк после рег скор","22203B","{A:0}","0","0","",""
"[ET728]Соедин Рег/Огр Ск После Наж Выкл Огр Ск","соед кк после огр скор","22203E","{A:0}","0","0","",""
"[ET732]Ручной Или Автомат. Стояночный Тормоз","руч или авт стоян тормоз","22222B","{A:0}","0","0","",""
"[ET755]Нейт. Полож. Рыч Перекл. Механ. Кор. Пер","нейтр полож МКПП","22222E","(A&3)","0","0","",""
"[ET756]Авт. Кор. Пер. Работает В Резер. Режиме","авт кор в резер режиме","22204F","{A:6}","0","0","",""
"[ET757]Пер Инф По Мул Сети От Дат Хода Пед Сцеп","инф по мульт от сцеп","222222","{A:0}","0","0","",""
"[ET759]Пер. Инф. По Мул. Сети О Распоз. Тормож.","распозн тормож","22200F","(A&15)","0","0","",""
"[ET760]Первый Запуск Двигателя","первый зап двигателя","222047","{A:0}","0","0","",""
"[ET764]Сигн Датч Нач Хода Пед Сц По Пров Связи","нач хода пед сцеп","22222F","{A:0}","0","0","",""
"[ET767]Единица Измерения Скорости Автомобиля","ед измер сокрости","222051","{A:0}","0","0","",""
"[ET774]Регулирование Давления Наддува","рег давл наддува","22241E","(A&31)","0","0","",""
"[ET775]Синхр. Сигн. Вмт Датч. Полож. Распр.Вала","синх сигн вмт датч полож распредвала","222014","{A:0}","0","0","",""
"[ET785]Инф О Положении Педали Сцепл Недоступна","инф о пед сцеп недоступна","22204F","{A:0}","0","0","",""
"[ET786]Инф О Положении Педали Сцепл Отсутствует","инф о пед сцеп отсутствует","22204F","{A:1}","0","0","",""
"[ET787]Инф О Полож Педали Тормоза Недоступна","инф о пед тормоза недоступна","22204F","{A:2}","0","0","",""
"[ET788]Инф О Полож Педали Тормоза Отсутствует","инф о пед тормоза отсутствует","22204F","{A:3}","0","0","",""
"[ET789]Замедл Без Нажатия На Педаль Тормоза","замедл без наж на тормоз","22204F","{A:4}","0","0","",""
"[ET790]Резкое Замедл Без Нажатия На Пед Тормоза","резк замедл без наж на тормоз","22204F","{A:5}","0","0","",""
"[ET791]Откл Регулятора Скор Эбу Системы Впрыска","откл КК сист впрыска","22204F","{A:7}","0","0","",""
"[ET792]Откл Огранич Скор Эбу Системы Впрыска","откл КК сист впрыска","22204E","{A:5}","0","0","",""
"[ET793]Инф. О Текущей Скорости Авт. Недоступна","инф о тек сокр недоступна","22204E","{A:0}","0","0","",""
"[ET794]Инф. Об Отобр. На Экр. Скор. Авт. Недост.","инф об отобр скор недоступна","22204E","{A:1}","0","0","",""
"[ET795]Инф О Текущей Скор Автомоб Отсутствует","инф о тек сокр отсутствует","22204E","{A:2}","0","0","",""
"[ET796]Инф О Выв На Экран Скор Автом Отсут","инф об отобр скор отсутствует","22204E","{A:3}","0","0","",""
"[ET797]Смена Ед. Измерения Скор Автомобиля","смена ед измер скорости","22204E","{A:4}","0","0","",""
"[ET799]Подкл Выключателя Стоп-Сигнала Проводами","подкл выкл стоп-сигн проводами","222026","(A&3)","0","0","",""
"[ET807]Противопробукс. Сис. И Стабилиз. Траект.","ESP","222079","{A:2}","0","0","",""
"[ET808]Стояночный Тормоз","стоян тормоз","222079","{A:4}","0","0","",""
"[ET813]Запрос Низ.Скор. Эл/Вент. С Эбу Впрыска","запрос низ скор вент с эбу впрыска","22204A","{A:0}","0","0","",""
"[ET814]Запрос Выс.Скор. Эл/Вент. С Эбу Впрыска","запрос выс скор вент с эбу впрыска","22204A","{A:1}","0","0","",""
"[ET815]Запрос Низ.Скор.Эл/Вент. С Эбу Конд.","запрос низ скор вент с эбу конд","22204A","{A:2}","0","0","",""
"[ET816]Запрос Выс.Скор.Эл/Вент. С Эбу Конд.","запрос выс скор вент с эбу конд","22204A","{A:3}","0","0","",""
"[ET817]Запрос Низ.Скор.Эл/Вентилятора С Эбу Акп","запрос низ скор вент с эбу акп","22204A","{A:4}","0","0","",""
"[ET818]Запрос Выс.Скор.Эл/Вентилятора С Эбу Акп","запрос выс скор вент с эбу акп","22204A","{A:5}","0","0","",""
"[ET819]Оконч. Запрос Низ.Скор.Эл/Вентилятора","оконч запрос низ скор вент","22204A","{A:6}","0","0","",""
"[ET820]Оконч. Запрос Выс.Скор.Эл/Вентилятора","оконч запрос выс скор вент","22204A","{A:7}","0","0","",""
"[ET824]Команда Регенерации","ком реген","22246D","A","0","0","",""
"[ET825]Разрешение Регенерации","заверш реген","222166","{A:0}","0","0","",""
"[ET826]Ком.Э/М Клап.Форс.Сист.Впрыска С Исп. Ог","ком э/м клап форс сист впрыска","222878","{A:0}","0","0","",""
"[ET827]Запрогр. Открытие Первого Впуск. Клапана","запрог откр перв впуск клапана","222477","{A:0}","0","0","",""
"[ET828]Запрогр. Закрытие Первого Впуск. Клапана","запрог закр перв впуск клапана","222478","{A:0}","0","0","",""
"[ET832]Разреш. Соед. Регул./Ограничит. Скорости","разреш соед КК","22222F","A","0","0","",""
"[ET834]Регул. Скор. Заблокирован Эбу Сист. Впр.","рег скор заблок","222079","{A:5}","0","0","",""
"[ET835]Огран. Скор. Заблокирован Эбу Сист. Впр.","огр скор заблок","222079","{A:6}","0","0","",""
"[ET837]Синхронизация Коленчатого Вала","синх колен вала","222016","{A:0}","0","0","",""
"[ET838]Регулировки Режима Горения","рег реж горения","222055","(A&15)","0","0","",""
"[ET839]Режим Горения","реж горения","222056","(A&15)","0","0","",""
"[ET879]Сиг Частоты Вращ Колен Вала","сигн частоты вращ колен вала","222161","{A:0}","0","0","",""
"[K9K] Внутренняя Температура","int t","2121","0.4*B-40","-40","60","*C","744"
"[K9K] Вода в топливе","water detect","222058","{A:0}","0","1","",""
"[K9K] Дефолтная установка оборотов двигателя","default rpm","222024","(A*256+B)/4","600","1200","",""
"[K9K] Кол-во свечей подогрева ОЖ","T-plugs cnt","22201D","{A:0}+{A:0}+{A:1}+{A:2}","0","4","cnt",""
"[K9K] Наружная Температура","ext t","211B","B-40","-40","50","С","745"
"[K9K] Статус АКПП: 2-МКПП","статус КПП","222096","{A:0}+{A:1}","0","3","",""
"[K9K] Статус Кондиционера","AC active","22201E","{A:0}","0","1","",""
"[K9K] Статус работы стартера","starter on","222046","{A:0}+{A:1}","0","3","",""
"[K9K] Статус Успешн. Заверш. Реген DPF","succes regen key","2224AB","{A:0}","0","1","",""
"[K9K] Уровень заполнения DPF","DPF load","2224AF","{A:0}+{A:1}","0","4","",""
"[LC165]Функция Ограничителя Скорости","функция огр скорости","22203D","{A:0}","0","0","",""
"[LC166]Функция Регулятора Скорости","функция регул скорости","22203A","{A:0}","0","0","",""
"[LC167]Выключатель Регулятора/Ограничителя Скорости","выкл КК","222041","{A:0}","0","0","",""
"[PR002]Заряд От Генератора","заряд","222099","(1.0*(A))/2.55","0","0","%",""
"[PR005]Установка Открытия Клапана Рог","уст откр рог","222408","(1.0*((A*256+B)-32768))/100","0","0","%",""
"[PR006]Ток Регулятора Давл. В Топл. Коллекторе","ток регул давл в топл колл","22FDBA","(1.0*(((A*256+B))*1000))/314.76","0","0","mA",""
"[PR008]Уставка Давления В Топливной Магистрали","уст давл в топл маг","222802","(A*256+B)","0","0","bar",""
"[PR009]Установка Давления Наддува","уст давл наддува","222402","(A*256+B)","0","0","mbar",""
"[PR015]Крутящий Момент Двигателя","крут момент двиг","222004","(1.0*((A*256+B)-12800))/32","0","0","Nm",""
"[PR017]Подача Топлива","подача топл","222806","(1.0*((A*256+B)))/100","0","0","mg/cp",""
"[PR018]Оценочн. Расход Воздуха","оцен расх воздуха","222421","(1.0*((A*256+B)))/10","0","0","mg/cp",""
